pitcher_name,month,type,pitch_type,px,pz
Max Scherzer,4,B,FT,-3.1,3.67
Max Scherzer,4,S,FF,-1.1,2.38
Max Scherzer,4,S,FT,-0.48,2.18
Max Scherzer,4,B,SL,1.15,-1.19
Max Scherzer,4,X,FT,0.32,2.2
Max Scherzer,4,S,FF,0.15,2.13
Max Scherzer,4,B,FF,1.32,1.75
Max Scherzer,4,S,SL,0.37,1.57
Max Scherzer,4,S,SL,0.52,1.4
Max Scherzer,4,B,FT,-1.68,3.09
Max Scherzer,4,X,CU,-2,0.86
Max Scherzer,4,B,FF,-1.08,3.8
Max Scherzer,4,B,CH,0.43,0.99
Max Scherzer,4,S,FF,-0.46,3.48
Max Scherzer,4,S,FF,0.07,2.73
Max Scherzer,4,X,FF,0.14,2.52
Max Scherzer,4,S,FT,0.12,2.58
Max Scherzer,4,X,SL,-1,2.82
Max Scherzer,4,S,FF,0.26,2.67
Max Scherzer,4,X,SL,0.31,1.83
Max Scherzer,4,S,FT,-0.42,2.22
Max Scherzer,4,S,FT,-0.47,1.95
Max Scherzer,4,B,SL,0.26,0.93
Max Scherzer,4,B,SL,-1.17,1.54
Max Scherzer,4,S,SL,-0.15,1.24
Max Scherzer,4,B,SL,-1.64,2.77
Max Scherzer,4,B,FT,-1.61,3.36
Max Scherzer,4,S,CH,-0.8,1.43
Max Scherzer,4,S,FT,-0.69,3.09
Max Scherzer,4,S,FT,-0.45,2.6
Max Scherzer,4,S,FT,-1.46,2.88
Max Scherzer,4,X,CH,-0.79,2.53
Max Scherzer,4,B,FT,-1.31,2.79
Max Scherzer,4,X,FT,-0.89,2.17
Max Scherzer,4,S,SL,-0.22,2.57
Max Scherzer,4,B,SL,-0.52,1.03
Max Scherzer,4,S,FT,-0.14,2.55
Max Scherzer,4,B,SL,1.64,1.2
Max Scherzer,4,S,SL,-0.48,2.05
Max Scherzer,4,B,FT,-0.97,3.83
Max Scherzer,4,S,CH,-0.15,2.24
Max Scherzer,4,B,CH,0.13,1.42
Max Scherzer,4,S,FF,-0.26,2.53
Max Scherzer,4,S,FT,-0.95,3.1
Max Scherzer,4,X,CH,-1.58,1.88
Max Scherzer,4,B,CH,0.52,1.44
Max Scherzer,4,S,FF,0.13,1.8
Max Scherzer,4,B,CH,-1.47,2.58
Max Scherzer,4,S,FT,-0.64,2.82
Max Scherzer,4,S,FF,0.86,0.87
Max Scherzer,4,S,SL,0.02,2.5
Max Scherzer,4,S,FF,-0.34,2.35
Max Scherzer,4,S,FT,0.51,3.89
Max Scherzer,4,X,SL,0.46,2.47
Max Scherzer,4,S,SL,-0.77,2.71
Max Scherzer,4,S,SL,0.05,2.6
Max Scherzer,4,B,FT,-0.45,4.69
Max Scherzer,4,B,FF,0.53,1.33
Max Scherzer,4,S,FT,-0.86,2.77
Max Scherzer,4,B,FF,0.63,2.02
Max Scherzer,4,S,SL,0.41,1.91
Max Scherzer,4,S,FT,0.51,2.09
Max Scherzer,4,S,FT,-0.06,2.64
Max Scherzer,4,B,FT,0.43,1.21
Max Scherzer,4,B,FF,-0.26,1.35
Max Scherzer,4,X,SL,0.35,2.48
Max Scherzer,4,X,SL,0.3,2.17
Max Scherzer,4,S,FT,-0.23,2.53
Max Scherzer,4,S,FF,-0.44,1.68
Max Scherzer,4,S,FF,0.01,2.14
Max Scherzer,4,B,SL,-0.41,0.4
Max Scherzer,4,B,CH,0.61,0.51
Max Scherzer,4,S,FT,-0.4,2.42
Max Scherzer,4,S,FF,0.34,2.57
Max Scherzer,4,B,SL,1.29,1.54
Max Scherzer,4,S,FT,-0.11,2.87
Max Scherzer,4,S,FT,-0.26,2.45
Max Scherzer,4,S,SL,-0.39,2.21
Max Scherzer,4,S,SL,-0.37,1.67
Max Scherzer,4,S,CH,-0.7,3.11
Max Scherzer,4,X,FT,0.18,2.63
Max Scherzer,4,B,FT,-1.18,3.01
Max Scherzer,4,X,FT,0.17,2.33
Max Scherzer,4,X,FF,0.33,2.76
Max Scherzer,4,S,FF,-0.14,2.57
Max Scherzer,4,S,SL,1.19,1.92
Max Scherzer,4,B,FF,1.13,1.92
Max Scherzer,4,S,FF,-0.02,2.39
Max Scherzer,4,S,FT,-0.83,3.21
Max Scherzer,4,S,CH,-0.28,1.73
Max Scherzer,4,B,SL,-1.12,1.24
Max Scherzer,4,S,FT,-1.16,2.88
Max Scherzer,4,B,SL,-2.38,2.73
Max Scherzer,4,S,FT,-1.41,2.52
Max Scherzer,4,B,FF,1.82,1.48
Max Scherzer,4,B,FT,0.87,2.07
Max Scherzer,4,S,SL,-0.51,2.17
Max Scherzer,4,X,SL,0.44,1.68
Max Scherzer,4,B,CH,-0.9,0.91
Max Scherzer,4,S,FT,-0.08,2.35
Max Scherzer,4,S,FT,-0.2,2.14
Max Scherzer,4,S,CH,-1.16,1.47
Max Scherzer,4,S,FF,-0.58,3.64
Max Scherzer,4,X,FF,0.92,3.71
Clayton Kershaw,4,S,SL,0.089,2.75
Clayton Kershaw,4,S,FF,0.083,2.721
Clayton Kershaw,4,B,FF,-2.651,2.69
Clayton Kershaw,4,B,CU,-0.644,-0.231
Clayton Kershaw,4,B,FF,0.642,4.521
Clayton Kershaw,4,S,CH,-1.41,2.327
Clayton Kershaw,4,S,FF,-0.839,1.85
Clayton Kershaw,4,B,CU,0.446,1.644
Clayton Kershaw,4,B,FF,1.159,2.461
Clayton Kershaw,4,X,FT,0.279,3.034
Clayton Kershaw,4,B,SL,0.566,1.983
Clayton Kershaw,4,X,FT,-0.218,2.716
Clayton Kershaw,4,S,FF,-0.147,3.199
Clayton Kershaw,4,S,SL,-0.356,2.544
Clayton Kershaw,4,S,FF,0.243,3.324
Clayton Kershaw,4,B,CH,-0.254,0.735
Clayton Kershaw,4,B,SL,0.046,3.862
Clayton Kershaw,4,B,CU,1.054,1.598
Clayton Kershaw,4,S,SL,0.133,1.902
Clayton Kershaw,4,X,FF,-1.031,2.078
Clayton Kershaw,4,B,FF,-1.4,3.162
Clayton Kershaw,4,B,FF,0.215,1.641
Clayton Kershaw,4,S,FT,0.352,2.13
Clayton Kershaw,4,B,SL,0.159,0.902
Clayton Kershaw,4,B,FF,-1.286,2.225
Clayton Kershaw,4,S,FF,-0.263,3.103
Clayton Kershaw,4,X,FT,-0.747,2.295
Clayton Kershaw,4,S,FF,-0.616,3.389
Clayton Kershaw,4,B,CU,0.149,0.773
Clayton Kershaw,4,S,CH,-0.025,2.033
Clayton Kershaw,4,X,SL,-0.306,1.581
Clayton Kershaw,4,B,FF,-0.785,1.235
Clayton Kershaw,4,B,FF,0.66,2.04
Clayton Kershaw,4,S,FF,0.435,1.69
Clayton Kershaw,4,S,FF,-0.631,1.829
Clayton Kershaw,4,S,FF,0.188,1.781
Clayton Kershaw,4,S,FF,0.315,2.196
Clayton Kershaw,4,B,CU,-0.809,0.319
Clayton Kershaw,4,B,SL,-1.022,1.338
Clayton Kershaw,4,B,SL,-0.643,1.178
Clayton Kershaw,4,S,FF,0.132,1.839
Clayton Kershaw,4,X,FF,-0.661,2.709
Clayton Kershaw,4,X,FF,-1.29,2.83
Clayton Kershaw,4,S,FF,-0.292,2.419
Clayton Kershaw,4,S,CU,0.28,3.335
Clayton Kershaw,4,B,SL,0.866,3.362
Clayton Kershaw,4,S,SL,-0.624,2.148
Clayton Kershaw,4,S,SL,-0.086,2.888
Clayton Kershaw,4,B,FF,-1.67,2.306
Clayton Kershaw,4,B,SL,0.336,1.329
Clayton Kershaw,4,X,FF,-1.021,2.354
Clayton Kershaw,4,S,FF,-0.232,2.367
Clayton Kershaw,4,S,CU,0.279,2.414
Clayton Kershaw,4,B,CU,-0.173,-1.092
Clayton Kershaw,4,S,FF,0.848,2.299
Clayton Kershaw,4,S,FF,0.536,2.295
Clayton Kershaw,4,B,CU,0.309,1.175
Clayton Kershaw,4,X,SL,-1.079,1.653
