Season,League,Month,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,AVG1,OBP,SLG,OPS,ISO,BABIP,w RC,w RAA,w OBA,wRC+,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
2012,MLB,Mar/Apr,7033,25433,22753,5677,3754,1154,136,633,2804,2676,2104,139,4914,206,169,196,501,414,178,0.249505559,0.082727165,0.193213541,0.428164428,0.249505559,0.316542485,0.395640135,0.71218262,0.146134576,0.290302158,2797.911582,-103.9937626,0.310549725,93.40145454,1.334326381,0.207195053,0.453175941,0.339629005,0.105263157,0.104766633,0.065368394,0.256038647,0.3993,0.3483,0.2524,0.1761,0.55,0.2738
2012,MLB,May,8951,32385,28942,7377,4836,1514,168,859,3723,3551,2699,192,6344,253,217,268,671,578,196,0.254889088,0.083341052,0.19589316,0.425441361,0.254889088,0.321665472,0.407850183,0.729515655,0.152961095,0.29686646,3739.018562,43.89000507,0.317225117,97.92056508,1.339979013,0.207040625,0.454084807,0.338874566,0.097586568,0.112670514,0.059416601,0.240963855,0.391,0.3563,0.2527,0.1595,0.5565,0.284
2012,MLB,Jun,8455,30589,27517,7068,4705,1366,147,850,3561,3394,2410,160,6064,239,186,230,611,541,190,0.256859396,0.078786491,0.198241197,0.39742744,0.256859396,0.320143647,0.409855725,0.729999372,0.152996329,0.299100485,3534.450231,44.24527698,0.317440405,98.07135299,1.335035891,0.207802547,0.452931809,0.339265642,0.09414688,0.117338487,0.065143211,0.262135922,0.3892,0.3544,0.2565,0.152,0.5588,0.2892
2012,MLB,Jul,8067,29028,26049,6668,4406,1306,145,811,3372,3197,2307,170,5770,238,196,237,564,545,187,0.255979116,0.079474989,0.198773597,0.399826689,0.255979116,0.320006946,0.410649161,0.730656107,0.154670045,0.297853946,3354.928039,42.83318782,0.317342628,98.13241058,1.323157435,0.210541915,0.449636911,0.339821172,0.101904346,0.117895042,0.062843331,0.237179487,0.3992,0.3553,0.2455,0.1534,0.561,0.2856
2012,MLB,Aug,8816,32036,28884,7421,4946,1462,152,861,3698,3525,2379,169,6238,278,242,252,603,531,188,0.256924248,0.074260207,0.194718441,0.381372234,0.256924248,0.317087751,0.407492037,0.724579788,0.150567789,0.297816316,3634.00835,-21.29930651,0.31469936,96.23881206,1.312402698,0.21341571,0.446425419,0.34015887,0.101063829,0.111702127,0.062376433,0.212943632,0.3972,0.3545,0.2483,0.1513,0.5613,0.2875
2012,MLB,Sept/Oct,10091,34564,30968,7827,5279,1454,179,915,3850,3646,2807,225,7070,278,211,297,669,616,194,0.252744768,0.081211665,0.204548084,0.397029702,0.252744768,0.318468363,0.399896667,0.71836503,0.147151899,0.298008105,3864.391308,-79.36115237,0.312703402,94.83496215,1.328259268,0.206144573,0.452890209,0.340965217,0.101522219,0.112325067,0.064602587,0.194174757,0.3892,0.3524,0.2584,0.1515,0.5635,0.285
2013,MLB,Mar/Apr,8240,29805,26662,6694,4423,1343,128,800,3350,3169,2442,164,6012,250,205,240,626,419,154,0.251068937,0.081932561,0.201711122,0.406187624,0.251068937,0.317534422,0.401057685,0.718592107,0.149988748,0.293891797,3293.561723,26.93372016,0.315512063,97.76180571,1.255528255,0.200503193,0.445035804,0.354461002,0.097188097,0.109200109,0.064361817,0.188679245,0.3941,0.3502,0.2556,0.1695,0.5391,0.2913
2013,MLB,May,8745,31671,28443,7238,4808,1458,126,846,3555,3411,2486,166,6263,277,231,231,631,459,169,0.25447386,0.078494521,0.197751886,0.396934376,0.25447386,0.31812832,0.403825194,0.721953514,0.149351334,0.296406213,3531.112106,59.97050289,0.316727828,98.59019303,1.28934672,0.208859048,0.445565969,0.345574981,0.092971704,0.110314252,0.05987055,0.22,0.3897,0.3605,0.2498,0.1602,0.5317,0.3081
2013,MLB,Jun,8484,31017,28051,7147,4826,1390,131,800,3407,3229,2299,172,6048,247,196,219,632,448,171,0.254785925,0.074120643,0.194989844,0.380125661,0.254785925,0.314779332,0.399237103,0.714016435,0.144451178,0.296602644,3374.960322,-24.50288108,0.313201286,96.22290436,1.303530979,0.212427679,0.445674456,0.341897863,0.093670886,0.106595602,0.06184197,0.259100642,0.3858,0.3639,0.2503,0.1567,0.5343,0.309
2013,MLB,Jul,8070,29412,26427,6678,4579,1284,123,692,3168,3009,2326,154,5739,248,192,217,566,428,162,0.252696106,0.079083367,0.195124439,0.40529709,0.252696106,0.31692529,0.389147462,0.706072752,0.136451356,0.296512779,3145.328557,-78.22664522,0.310905973,94.73798941,1.354066985,0.213905296,0.452164229,0.333930473,0.098158619,0.100333478,0.060498982,0.246606334,0.3872,0.3593,0.2536,0.1615,0.5361,0.3024
