name,pos,type,days
Francisco Cervelli,C,Wrist/Hand,48
Carlos Carrasco,SP,Hand/Hamstring,54
Starling Marte,CF,Back,566
Wilson Ramos,C,Knee ACL,567
Mac Williamson,RF,Quad/Shoulder,599
Josh Harrison,2B,Groin,568
Zack Cozart,3B,Knee,568
A.J. Schugel,RP,Shoulder,570
Tyler Saladino,2B,Back,572
Steven Souza,RF,Hip,589
Jacob deGrom,SP,Elbow,573
Steven Pearce,LF,Arm/Hamstring,605
Eddie Rosario,LF,Thumb,576
Logan Morrison,DH,Wrist/Arm,597
Chris Lee,SP,Shoulder,579
Cody Reed,RP,Back,579
Aaron Judge,RF,Oblique,580
Elias Diaz,C,Knee/Elbow,690
Trevor May,RP,Back,641
Chris Stewart,C,Knee,642
Gerrit Cole,SP,Elbow/Arm,636
A.J. Pierzynski,C,Hamstring,599
Carlos Frias,RP,Oblique,585
Matt Shoemaker,SP,Face,589
Billy Hamilton,CF,Oblique/Concussion,598
Ray Black,RP,Elbow,590
Chad Green,RP,Arm,591
Nick Rumbelow,SP,Elbow Tommy John,592
Aaron Hicks,CF,Hamstring,20
Chien-Ming Wang,RP,Biceps,18
Christian Bethancourt,C,Ribs,594
Arodys Vizcaino,RP,Shoulder/Oblique,630
Aaron Blair,SP,Knee,21
Daniel Santana,CF,Shoulder/Hamstring,633
Derek Law,RP,Elbow,18
David Phelps,RP,Oblique,15
Justin Ruggiano,RF,Shoulder/Hamstring,615
Neil Walker,2B,Back,599
Tom Wilhelmsen,RP,Back,15
Andrew Benintendi,LF,Knee,20
Rob Whalen,RP,Shoulder,600
Jonathan Niese,RP,Knee,601
Brett Anderson,SP,Finger/Back,166
Scott Kazmir,SP,Back,33
Anthony Swarzak,RP,Shoulder,27
Shawn Tolleson,RP,Back,602
Billy Butler,DH,Concussion,603
Gregor Blanco,RF,Shoulder,26
Mike Leake,SP,Shin,17
Jake Peavy,RP,Back,18
Stephen Strasburg,SP,Elbow/Back,36
Chris Tillman,SP,Shoulder,21
Aaron Brooks,SP,Hip,605
Nick Franklin,LF,Concussion,8
Jung Ho Kang,3B,Shoulder/Knee,51
Scott Oberg,RP,Arm,605
Drew Storen,RP,Shoulder,16
Yunel Escobar,3B,Concussion,8
Matt Cain,RP,Back/Hamstring,69
Derek Dietrich,2B,Knee,16
Jabari Blash,LF,Finger,606
Eric O'Flaherty,RP,Elbow/Knee,641
Lucas Harrell,RP,Groin,608
Chris Coghlan,LF,Ribs,43
Joe Smith,RP,Hamstring,43
Hector Rondon,RP,Arm,21
Tyler Ladendorf,2B,Wrist,608
Shin-Soo Choo,DH,Arm/Back/Hamstring/Calf,126
Sammy Solis,RP,Shoulder/Knee,60
John Lackey,SP,Shoulder,21
Geovany Soto,C,Knee,689
Steven Matz,SP,Elbow,53
Tyler Chatwood,SP,Back,36
Giancarlo Stanton,DH,Groin,24
Brandon McCarthy,SP,Hip/Elbow Tommy John,135
Seth Maness,RP,Elbow,611
Michael Blazek,RP,Arm/Elbow,43
Adam Conley,SP,Hand,44
Josh Ravin,RP,Arm,20
Shane Robinson,CF,Hip/Ankle,49
Preston Tucker,RF,Shoulder,612
Mark Reynolds,3B,Wrist,19
Miguel Gonzalez,SP,Groin,25
Darren O'Day,RP,Shoulder/Hamstring,90
Tom Milone,RP,Biceps,29
Matt Holliday,DH,Thumb,50
Buddy Boshers,RP,Elbow,23
Nathan Eovaldi,SP,Elbow,614
Pedro Strop,RP,Knee,44
Jose Iglesias,SS,Hamstring,17
Matt Adams,1B,Shoulder,24
Jose Bautista,RF,Knee/Toe,55
Zach Eflin,SP,Knee,87
A.J. Ramos,RP,Finger,13
Cam Bedrosian,RP,Finger,616
Michael Wacha,SP,Shoulder,37
James Paxton,SP,Elbow,18
Sonny Gray,SP,Arm/Back,67
Steven Wright,SP,Shoulder,19
